alpha,beta,seed,perception,adversarial_opt_target,shield,selector,fail_rate,stuck_rate,safe_rate,mean_steps,num_trials,fail_rate_ci_low,fail_rate_ci_high,stuck_rate_ci_low,stuck_rate_ci_high,safe_rate_ci_low,safe_rate_ci_high
0.01,0.7,42,uniform,,single_belief,rl,0.5,0.05,0.45,10.775,40,0.33801781373723455,0.6619821862627655,0.006113646599350838,0.16919686395941763,0.29258835003987993,0.6150932054659867
0.01,0.7,42,uniform,,envelope,rl,0.325,0.05,0.625,13.425,40,0.18572896676334982,0.49129487547844847,0.006113646599350838,0.16919686395941763,0.45801475223261096,0.772737277518174
0.01,0.7,42,uniform,,forward_sampling,rl,0.35,0.0,0.65,13.7,40,0.20628249087076686,0.5168444536489907,0.0,0.08809730287880237,0.4831555463510094,0.7937175091292331
0.01,0.7,42,adversarial_opt,envelope,single_belief,rl,0.475,0.025,0.5,11.075,40,0.31511970663498606,0.6387198647359378,0.0006327449320494191,0.13158585848276572,0.33801781373723455,0.6619821862627655
0.01,0.7,42,adversarial_opt,envelope,envelope,rl,0.375,0.025,0.6,13.45,40,0.2272627224818259,0.541985247767389,0.0006327449320494191,0.13158585848276572,0.4332670521932967,0.7513500134122562
0.01,0.7,42,adversarial_opt,envelope,forward_sampling,rl,0.425,0.025,0.55,11.65,40,0.27042903126886286,0.5910994195730367,0.0006327449320494191,0.13158585848276572,0.3849067945340133,0.7074116499601201
0.01,0.7,123,uniform,,single_belief,rl,0.425,0.0,0.575,12.575,40,0.27042903126886286,0.5910994195730367,0.0,0.08809730287880237,0.4089005804269633,0.7295709687311371
0.01,0.7,123,uniform,,envelope,rl,0.15,0.1,0.75,15.4,40,0.05710225815452586,0.29835266683957645,0.027925415294219307,0.23663739987609986,0.5880380198485702,0.873085201067155
0.01,0.7,123,uniform,,forward_sampling,rl,0.35,0.075,0.575,12.625,40,0.20628249087076686,0.5168444536489907,0.01574217985104153,0.20386474873289895,0.4089005804269633,0.7295709687311371
0.01,0.7,123,adversarial_opt,envelope,single_belief,rl,0.4,0.0,0.6,13.475,40,0.2486499865877438,0.5667329478067034,0.0,0.08809730287880237,0.4332670521932967,0.7513500134122562
0.01,0.7,123,adversarial_opt,envelope,envelope,rl,0.375,0.05,0.575,12.475,40,0.2272627224818259,0.541985247767389,0.006113646599350838,0.16919686395941763,0.4089005804269633,0.7295709687311371
0.01,0.7,123,adversarial_opt,envelope,forward_sampling,rl,0.325,0.075,0.6,13.375,40,0.18572896676334982,0.49129487547844847,0.01574217985104153,0.20386474873289895,0.4332670521932967,0.7513500134122562
0.01,0.7,456,uniform,,single_belief,rl,0.4,0.025,0.575,13.125,40,0.2486499865877438,0.5667329478067034,0.0006327449320494191,0.13158585848276572,0.4089005804269633,0.7295709687311371
0.01,0.7,456,uniform,,envelope,rl,0.275,0.075,0.65,13.85,40,0.1460089919638657,0.43888290717904815,0.01574217985104153,0.20386474873289895,0.4831555463510094,0.7937175091292331
0.01,0.7,456,uniform,,forward_sampling,rl,0.325,0.025,0.65,14.0,40,0.18572896676334982,0.49129487547844847,0.0006327449320494191,0.13158585848276572,0.4831555463510094,0.7937175091292331
0.01,0.7,456,adversarial_opt,envelope,single_belief,rl,0.35,0.0,0.65,14.425,40,0.20628249087076686,0.5168444536489907,0.0,0.08809730287880237,0.4831555463510094,0.7937175091292331
0.01,0.7,456,adversarial_opt,envelope,envelope,rl,0.2,0.05,0.75,15.5,40,0.09052240939999068,0.35647801867923473,0.006113646599350838,0.16919686395941763,0.5880380198485702,0.873085201067155
0.01,0.7,456,adversarial_opt,envelope,forward_sampling,rl,0.3,0.05,0.65,14.05,40,0.16562720439323558,0.4653162852541233,0.006113646599350838,0.16919686395941763,0.4831555463510094,0.7937175091292331
0.01,0.7,789,uniform,,single_belief,rl,0.275,0.0,0.725,15.075,40,0.1460089919638657,0.43888290717904815,0.0,0.08809730287880237,0.5611170928209519,0.8539910080361344
0.01,0.7,789,uniform,,envelope,rl,0.3,0.05,0.65,13.55,40,0.16562720439323558,0.4653162852541233,0.006113646599350838,0.16919686395941763,0.4831555463510094,0.7937175091292331
0.01,0.7,789,uniform,,forward_sampling,rl,0.375,0.0,0.625,13.3,40,0.2272627224818259,0.541985247767389,0.0,0.08809730287880237,0.45801475223261096,0.772737277518174
0.01,0.7,789,adversarial_opt,envelope,single_belief,rl,0.2,0.0,0.8,16.6,40,0.09052240939999068,0.35647801867923473,0.0,0.08809730287880237,0.6435219813207653,0.9094775906000093
0.01,0.7,789,adversarial_opt,envelope,envelope,rl,0.35,0.075,0.575,12.075,40,0.20628249087076686,0.5168444536489907,0.01574217985104153,0.20386474873289895,0.4089005804269633,0.7295709687311371
0.01,0.7,789,adversarial_opt,envelope,forward_sampling,rl,0.475,0.075,0.45,10.15,40,0.31511970663498606,0.6387198647359378,0.01574217985104153,0.20386474873289895,0.29258835003987993,0.6150932054659867
0.01,0.7,1024,uniform,,single_belief,rl,0.475,0.0,0.525,12.875,40,0.31511970663498606,0.6387198647359378,0.0,0.08809730287880237,0.3612801352640621,0.6848802933650138
0.01,0.7,1024,uniform,,envelope,rl,0.25,0.05,0.7,14.625,40,0.126914798932845,0.4119619801514299,0.006113646599350838,0.16919686395941763,0.5346837147458767,0.8343727956067644
0.01,0.7,1024,uniform,,forward_sampling,rl,0.225,0.025,0.75,15.925,40,0.10839663898407201,0.3845116773034227,0.0006327449320494191,0.13158585848276572,0.5880380198485702,0.873085201067155
0.01,0.7,1024,adversarial_opt,envelope,single_belief,rl,0.35,0.025,0.625,14.275,40,0.20628249087076686,0.5168444536489907,0.0006327449320494191,0.13158585848276572,0.45801475223261096,0.772737277518174
0.01,0.7,1024,adversarial_opt,envelope,envelope,rl,0.3,0.075,0.625,13.45,40,0.16562720439323558,0.4653162852541233,0.01574217985104153,0.20386474873289895,0.45801475223261096,0.772737277518174
0.01,0.7,1024,adversarial_opt,envelope,forward_sampling,rl,0.45,0.05,0.5,11.275,40,0.29258835003987993,0.6150932054659867,0.006113646599350838,0.16919686395941763,0.33801781373723455,0.6619821862627655
0.01,0.8,42,uniform,,single_belief,rl,0.275,0.0,0.725,15.25,40,0.1460089919638657,0.43888290717904815,0.0,0.08809730287880237,0.5611170928209519,0.8539910080361344
0.01,0.8,42,uniform,,envelope,rl,0.3,0.1,0.6,12.7,40,0.16562720439323558,0.4653162852541233,0.027925415294219307,0.23663739987609986,0.4332670521932967,0.7513500134122562
0.01,0.8,42,uniform,,forward_sampling,rl,0.225,0.05,0.725,15.375,40,0.10839663898407201,0.3845116773034227,0.006113646599350838,0.16919686395941763,0.5611170928209519,0.8539910080361344
